id,IdEstacion,Estacion,lon,lat,tipo,dailyreg,X,Y
385150206,131,Coatepeque,-89.51214,13.867639,HID,TRUE,444641,305195
388900282,132,SF Dos Cerros,-89.2756,14.034,HID,TRUE,470231,323450
388900346,133,VolcanSMiguel 2,-88.2723,13.4412,HID,TRUE,578798,257947
446176943,134,VSM_La Piedra 1,-88.2997,13.4352,HID,TRUE,575834,257407
448377970,138,Dulce Nombre Ma,-89.010666,14.199686,HID,TRUE,498849,341870
601773008,143,Paso del Oso,-89.416,14.091,HID,TRUE,455076,329885
603341073,145,AgrC El Peñon,-89.919266,13.669316,HID,TRUE,1.81E+07,7.16E+06
603341150,149,AgrC Chalate,-88.9694,14.0422,HID,TRUE,1.80E+07,7.12E+06
179815666,15,San Gregorio,-88.5077,13.9317,HID,TRUE,553200,312277
603341151,150,AgrC Zapotitan,-89.411865,13.7682,HID,TRUE,1.81E+07,7.13E+06
603341246,151,AgrC Chalchuapa,-89.66775,13.98555,HID,TRUE,1.81E+07,7.16E+06
603341247,152,AgrC Ahuachapan,-89.8556,13.939411,HID,TRUE,1.81E+07,7.17E+06
603341330,154,AgrC Acahuapa,-88.5808,13.537833,HID,TRUE,1.80E+07,7.05E+06
603341331,155,AgrC Osicala,-88.14897,13.805333,HID,TRUE,1.80E+07,7.04E+06
603481484,156,AgrC Cara Sucia,-90.0345,13.7753,HID,TRUE,388134,295161
179815658,16,La Ceiba,-87.7833,13.5167,HID,TRUE,631713,266646
179815656,17,El Sauce,-87.78976,13.649631,HID,TRUE,630940,281348
179815663,18,Puente Viejo,-88.988174,13.517905,HID,TRUE,501281,266446
179815665,19,San Fco Gotera,-88.1095,13.6908,HID,TRUE,596330,285751
179815781,2,El Zapotillo,-89.413,14.1753,HID,TRUE,455416,339211
179815655,20,El Jobo,-89.907005,14.017519,HID,TRUE,402021,321902
179815651,21,Hachadura,-90.08783,13.860703,HID,TRUE,382410,304634
179815654,22,El Delirio,-88.1416,13.3274,HID,TRUE,593001,245537
179815779,24,Villerias,-88.17953,13.518719,HID,TRUE,588819,266687
603846557,246,Acajutla Marea,-89.837845,13.57384,HID,TRUE,409322,272792
603928442,247,La Union Marea,-87.8137,13.3283,HID,TRUE,628526,245789
603945420,248,Piedra Cargada,-89.516655,14.184292,HID,TRUE,444228,340227
605096764,249,Ciudad Arce,-89.437325,13.829981,HID,TRUE,452720,301013
179815657,25,Santiago Nonual,-88.97845,13.43068,HID,TRUE,502334,256797
607399109,250,CitalaR,-89.2126,14.3703,HID,TRUE,477063,360758
179815780,26,Zacatecoluca,-88.8578,13.5082,HID,TRUE,515394,265377
179815650,28,Belloso,-89.191,13.6931,HID,TRUE,479339,285835
179815766,31,La Union,-87.8236,13.3333,HID,TRUE,627450,246335
600432223,32,San Miguel UES,-88.15833333,13.43833333,HID,TRUE,,
179815782,33,Santa Ana,-89.5488,13.9825,HID,TRUE,440707,317910
179815652,35,Boqueron,-89.2675,13.7339,HID,TRUE,471069,290357
179815662,36,PROCAFE,-89.2866,13.6843,HID,TRUE,468996,284872
179815783,37,Acajutla,-89.8333,13.5678,HID,TRUE,409811,272122
179815661,38,Concep Oriente,-87.71012,13.797044,HID,TRUE,639469,297700
179815669,39,San Vicente,-88.839,13.5958,HID,TRUE,517423,275069
600432241,4,Aeropuerto Ilopango,-89.11833333,13.69833333,HID,TRUE,,
179815660,40,Las Pilas,-89.096,14.371,HID,TRUE,489645,360826
179815807,42,El Pacayal,-88.3233,13.469,HID,TRUE,573271,261139
179815671,43,Tecoluca,-88.7813,13.5334,HID,TRUE,523674,268171
179815778,44,Vado Marin,-88.2899,13.3015,HID,TRUE,576942,242619
179815664,45,San Antonio,-88.8197,13.4536,HID,TRUE,519524,259339
179815668,46,Santa Clara,-89.7563,13.6725,HID,TRUE,418181,283677
179815760,47,Santa Beatriz,-89.7364,13.5923,HID,TRUE,420307,274798
179815673,48,Volcan S Miguel,-88.2378,13.4425,HID,TRUE,580134,258238
179815672,49,Metapan,-89.5449,14.3595,HID,TRUE,441223,359618
179815632,50,Jerusalem,-88.9001,13.653,HID,TRUE,510808,281393
179815777,51,Tepezontes,-89.0103,13.6199,HID,TRUE,498889,277729
179815622,53,Ataco,-89.903,13.834,HID,TRUE,402378,301598
179815629,54,Ishuatan,-89.558,13.643,HID,TRUE,439626,280355
179815636,58,Los Naranjos,-89.6743,13.8763,HID,TRUE,427115,306196
179815639,59,Montecristo,-89.3996,14.3625,HID,TRUE,456897,359919
179815764,60,Providencia,-89.096,13.4737,HID,TRUE,489606,261558
179815648,61,UES,-89.2027,13.7185,HID,TRUE,478076,288646
179815776,62,Picacho,-89.25611,13.745414,HID,TRUE,472302,291629
179815762,63,La Cima,-89.215,13.6588,HID,TRUE,476739,282043
179815649,64,Guacotecti,-88.6448,13.8713,HID,TRUE,538394,305569
179815765,65,Pto Parada,-88.4392,13.2507,HID,TRUE,560778,236957
179815763,66,Moropala,-88.3192,13.2839,HID,TRUE,573773,240663
179815761,67,Huizucar,-89.2345,13.6093,HID,TRUE,474436,274289
179815784,72,Apaneca,-89.798,13.8412,HID,TRUE,413729,302350
179815785,75,Panchimalco,-89.1812,13.6089,HID,TRUE,480392,276520
179815786,76,Comasagua,-89.3486,13.6354,HID,TRUE,462283,279470
179815787,77,Tonacatepeque,-89.1145,13.782,HID,TRUE,487622,295665
179815788,78,Ilobasco,-88.8617,13.8151,HID,TRUE,514953,299323
179815789,79,Sensuntepeque,-88.6205,13.8749,HID,TRUE,541017,305967
179815625,8,Chapeltique,-88.2608,13.6424,HID,TRUE,579979,280341
179815790,80,Guadalupe,-88.8599,13.607,HID,TRUE,515156,276306
179815791,81,Verapaz,-88.8606,13.6573,HID,TRUE,515081,281872
179815792,82,Chirilagua,-88.1966,13.2556,HID,TRUE,587064,237578
179815793,84,Berlin,-88.5199,13.4831,HID,TRUE,551976,262652
179815794,85,Conchagua,-87.8339,13.2763,HID,TRUE,626369,240022
179815795,86,Melara,-89.2067,13.4874,HID,TRUE,477618,263081
179815796,87,Guazapa,-89.1964,13.8856,HID,TRUE,478774,307135
179815797,88,Sanisidro,-88.6984,13.790151,HID,TRUE,532611,296584
179815798,89,Laquesera,-88.6483,13.5821,HID,TRUE,538062,273570
179815775,9,Osicala,-88.15,13.8332,HID,TRUE,591893,301488
179815799,90,S Vicente hidro,-88.7726,13.6492,HID,TRUE,524602,280985
179815800,91,Pasaquina,-87.78,13.5645,HID,TRUE,632039,271935
179815801,92,La Canoa,-88.1655,13.3282,HID,TRUE,590409,245620
179815802,94,La Cañada,-87.8894,13.3098,HID,TRUE,620337,243699
179815803,95,StaCruzPorrillo,-88.8012,13.4394,HID,TRUE,521528,257770
179815804,96,Perquin,-88.1584,13.9611,HID,TRUE,590936,315629
179815805,97,Apopa,-89.1742,13.7956,HID,TRUE,481168,297177
179815674,A10,FINCA NOVI,-89.611667,13.916667,MET,FALSE,433897,310644
179815675,A12,SANTA ANA-EL PALMAR,-89.57,13.976667,MET,FALSE,438415,317270
179815612,A15,GUIJA,-89.47,14.228333,MET,TRUE,449274,345089
179815676,A17,FINCA LORENA,-89.64,13.903333,MET,,430831,309177
179815613,A18,FINCA LOS ANDES,-89.62833333,13.87333333,MET,TRUE,432083,305854
179815677,A19,LAGO DE COATEPEQUE,-89.583333,13.861667,MET,,436944,304552
179815678,A21,FINCA SAN JOSE MONTERREY,-89.511667,13.866667,MET,,444692,305087
179815679,A23,"CHALCHUAPA, BENEF. TAZUMAL",-89.681667,13.981667,MET,,426352,317855
179815680,A25,BENEFICIO MONTEALEGRE,-89.638333,13.976667,MET,,431032,317289
179815614,A27,C. DE LA FRONTERA,-89.65166667,14.12,MET,TRUE,429635,333150
179815611,A3,METAPAN,0,0,'',FALSE,,
179815615,A31,PLANES DE MONTECRISTO,-89.36,14.398333,MET,TRUE,461174,363877
179815681,A32,HDA. SAN JOSE INGENIO,-89.401667,14.363333,MET,,456674,360012
179815682,A34,"FCA. NOMBRE DE DIOS, CANTON MONTENEGR",-89.328333,14.318333,MET,,464577,355021
179815683,A36,ESTADIO EL RANCHITO,-89.441667,14.385,MET,,452364,362417
179815774,A37,SANTA ANA-UNICAES,-89.54833333,13.98166667,MET,TRUE,440758,317818
179815684,A4,TEXIS JUCTION,-89.511667,14.103333,MET,,444748,331269
179815685,A6,"SANTA ANA, SANTA LUCIA",-89.565,13.998333,MET,,438961,319666
179815617,B1,CH. DEL GUAYABO,-88.755,13.98666667,MET,TRUE,526470,318317
179815618,B10,CERRON GRANDE,-88.91333333,13.93666667,MET,TRUE,509365,312774
179815686,B3,VILLA DOLORES,-88.57,13.78,MET,,546498,295482
179815687,B4,ILOBASCO,-88.853333,13.841667,MET,,515856,302267
179815688,B5,SAN ISIDRO,-88.716667,13.836667,MET,,530631,301727
179815619,B6,SENSUNTEPEQUE,-88.64666667,13.87,MET,TRUE,538193,305425
179815689,B8,VILLA VICTORIA,-88.641667,13.845,MET,,538737,302660
179815690,C11,ORATORIO DE CONCEPCION,-89.065,13.815,MET,,492972,299313
179815620,C3,"SUCHITOTO, Alcaldia",-89.02733333,13.93688889,MET,TRUE,496218,311666
179815691,C8,INGENIO SAN FRANCISCO AGUILARES,-89.168333,13.961667,MET,,481812,315544
179815621,C9,COJUTEPEQUE SM,-88.92666667,13.72,MET,TRUE,507932,288804
179815767,G100,Manantiales-GEO,-89.29379722,13.61244444,HID,TRUE,468208,276832
187281559,G101,Juayua-GEO,-89.7478,13.8417,HID,TRUE,419162,302394
179815692,G11,AGUA CALIENTE,-89.226667,14.181667,MET,,475532,339888
179815610,G12,CONCEPCION QUEZALTEPEQUE,-88.954416,14.089194,MET,TRUE,,
179815771,G13,LAS PILAS,-89.08833,14.37333,MET,TRUE,490473,361083
